t,x,y
6.920,1.513,3.577
6.940,1.535,3.606
6.960,1.563,3.569
6.980,1.593,3.536
7.000,1.629,3.510
7.020,1.678,3.505
7.040,1.734,3.503
7.060,1.817,3.379
7.080,1.883,3.232
7.100,1.915,3.040
7.120,1.956,2.817
7.140,2.003,2.576
7.160,2.069,2.252
7.180,2.126,1.902
7.200,2.166,1.501
7.220,2.179,1.146
7.240,2.179,0.810
7.260,2.179,0.514
7.280,2.180,0.242
7.300,2.185,0.014
7.320,2.205,-0.150
7.340,2.232,-0.287
7.360,2.310,-0.365
7.380,2.384,-0.417
7.400,2.453,-0.421
7.420,2.498,-0.410
7.440,2.534,-0.393
7.460,2.566,-0.416
7.480,2.586,-0.459
7.500,2.586,-0.541
7.520,2.583,-0.562
7.540,2.579,-0.558
7.560,2.620,-0.535
7.580,2.661,-0.519
7.600,2.702,-0.514
7.620,2.708,-0.494
7.640,2.699,-0.468
7.660,2.667,-0.377
7.680,2.628,-0.314
7.700,2.578,-0.305
7.720,2.529,-0.314
7.740,2.480,-0.332
7.760,2.480,-0.337
7.780,2.498,-0.327
7.800,2.548,-0.290
7.820,2.616,-0.295
7.840,2.691,-0.317
7.860,2.791,-0.326
7.880,2.889,-0.332
7.900,2.985,-0.332
7.920,3.048,-0.344
7.940,3.097,-0.362
7.960,3.166,-0.453
7.980,3.245,-0.533
8.000,3.346,-0.592
8.020,3.494,-0.644
8.040,3.663,-0.693
8.060,3.840,-0.786
8.080,4.030,-0.875
8.100,4.249,-0.958
8.120,4.441,-1.013
8.140,4.619,-1.054
8.160,4.730,-1.116
8.180,4.803,-1.204
8.200,4.789,-1.354
8.220,4.746,-1.475
8.240,4.687,-1.579
8.260,4.593,-1.680
8.280,4.498,-1.777
8.300,4.397,-1.864
8.320,4.307,-1.909
8.340,4.223,-1.931
8.360,4.167,-1.885
8.380,4.119,-1.835
8.400,4.087,-1.785
8.420,4.073,-1.753
8.440,4.069,-1.731
8.460,4.086,-1.735
8.480,4.097,-1.742
8.500,4.092,-1.755
8.520,4.102,-1.783
8.540,4.119,-1.818
8.560,4.146,-1.838
8.580,4.137,-1.799
8.600,4.041,-1.626
8.620,3.941,-1.468
8.640,3.840,-1.317
8.660,3.757,-1.185
8.680,3.660,-1.061
8.700,3.527,-0.955
8.720,3.389,-0.896
8.740,3.248,-0.868
8.760,3.202,-0.957
8.780,3.152,-1.068
8.800,3.081,-1.213
8.820,3.014,-1.356
8.840,2.950,-1.497
8.860,2.921,-1.690
8.880,2.880,-1.851
8.900,2.809,-1.931
8.920,2.726,-2.015
8.940,2.635,-2.102
8.960,2.559,-2.111
8.980,2.474,-2.106
9.000,2.355,-2.074
9.020,2.231,-1.955
9.040,2.103,-1.777
9.060,2.026,-1.638
9.080,1.960,-1.517
9.100,1.919,-1.444
9.120,1.897,-1.406
9.140,1.888,-1.392
9.160,1.892,-1.408
9.180,1.889,-1.440
9.200,1.867,-1.518
9.220,1.822,-1.609
9.240,1.763,-1.709
9.260,1.680,-1.743
9.280,1.589,-1.763
9.300,1.480,-1.750
9.320,1.371,-1.737
9.340,1.261,-1.723
9.360,1.184,-1.685
9.380,1.120,-1.642
9.400,1.093,-1.587
9.420,1.106,-1.502
9.440,1.146,-1.396
9.460,1.171,-1.311
9.480,1.192,-1.213
9.500,1.210,-1.068
9.520,1.207,-0.959
9.540,1.189,-0.875
9.560,1.118,-0.776
9.580,1.045,-0.706
9.600,0.988,-0.723
9.620,0.932,-0.731
9.640,0.877,-0.731
9.660,0.815,-0.727
9.680,0.762,-0.696
9.700,0.740,-0.585
9.720,0.785,-0.357
9.740,0.886,-0.034
9.760,0.912,0.355
9.780,0.920,0.731
9.800,0.897,1.044
9.820,0.864,1.283
9.840,0.823,1.460
9.860,0.811,1.572
9.880,0.796,1.621
9.900,0.765,1.501
9.920,0.754,1.342
9.940,0.758,1.151
9.960,0.833,1.058
9.980,0.932,0.997
10.000,1.083,0.997
10.020,1.215,0.976
10.040,1.334,0.940
10.060,1.366,0.945
10.080,1.420,0.995
10.100,1.571,1.167
10.120,1.759,1.337
10.140,1.978,1.505
10.160,2.192,1.645
10.180,2.406,1.780
10.200,2.619,1.909
10.220,2.862,2.007
10.240,3.131,2.080
10.260,3.257,1.992
10.280,3.354,1.888
10.300,3.395,1.792
10.320,3.421,1.703
10.340,3.434,1.619
10.360,3.436,1.556
10.380,3.430,1.500
10.400,3.403,1.459
10.420,3.368,1.438
10.440,3.328,1.434
10.460,3.291,1.422
10.480,3.236,1.372
10.500,3.104,1.176
10.520,2.964,0.968
10.540,2.818,0.752
10.560,2.692,0.518
10.580,2.571,0.284
10.600,2.457,0.061
10.620,2.347,-0.170
10.640,2.241,-0.409
10.660,2.256,-0.460
10.680,2.310,-0.461
10.700,2.429,-0.395
10.720,2.596,-0.296
10.740,2.810,-0.164
10.760,3.145,0.007
10.780,3.491,0.184
