t,x,y
7.287,-0.368,-8.172
7.307,-0.238,-8.174
7.327,-0.077,-8.165
7.347,0.102,-8.147
7.367,0.256,-8.129
7.387,0.346,-8.118
7.407,0.382,-8.125
7.427,0.393,-8.149
7.447,0.387,-8.191
7.467,0.375,-8.249
7.487,0.385,-8.305
7.508,0.408,-8.352
7.528,0.433,-8.390
7.548,0.449,-8.418
7.568,0.450,-8.437
7.588,0.431,-8.461
7.608,0.396,-8.489
7.628,0.356,-8.517
7.648,0.321,-8.540
7.668,0.298,-8.556
7.688,0.288,-8.562
7.708,0.289,-8.555
7.728,0.296,-8.547
7.748,0.304,-8.541
7.768,0.310,-8.536
7.788,0.313,-8.532
7.808,0.314,-8.535
7.828,0.314,-8.537
7.848,0.314,-8.536
7.868,0.314,-8.539
7.888,0.313,-8.548
7.908,0.310,-8.560
7.928,0.304,-8.573
7.948,0.296,-8.595
7.968,0.289,-8.617
7.988,0.288,-8.638
8.008,0.298,-8.661
8.028,0.321,-8.690
8.048,0.356,-8.719
8.068,0.396,-8.748
8.088,0.431,-8.779
8.108,0.450,-8.811
8.128,0.449,-8.832
8.148,0.433,-8.850
8.168,0.408,-8.868
8.188,0.385,-8.885
8.208,0.375,-8.897
8.228,0.387,-8.906
8.248,0.393,-8.902
8.268,0.382,-8.879
8.288,0.346,-8.835
8.308,0.256,-8.771
8.328,0.102,-8.696
8.348,-0.077,-8.621
8.368,-0.238,-8.551
8.388,-0.368,-8.495
8.408,-0.413,-8.464
8.428,-0.355,-8.451
8.448,-0.214,-8.450
8.468,-0.049,-8.463
8.488,0.128,-8.488
8.509,0.280,-8.516
8.529,0.389,-8.553
8.549,0.450,-8.597
8.569,0.486,-8.639
8.589,0.500,-8.677
8.609,0.495,-8.709
8.629,0.481,-8.732
8.649,0.465,-8.750
8.669,0.450,-8.767
8.689,0.438,-8.785
8.709,0.426,-8.807
8.729,0.412,-8.833
8.749,0.397,-8.863
8.769,0.377,-8.895
8.789,0.356,-8.926
8.809,0.345,-8.957
8.829,0.342,-8.985
8.849,0.347,-9.005
8.869,0.357,-9.025
8.889,0.363,-9.046
8.909,0.355,-9.067
8.929,0.333,-9.087
8.949,0.297,-9.113
8.969,0.252,-9.142
8.989,0.215,-9.178
9.009,0.184,-9.218
9.029,0.164,-9.254
9.049,0.149,-9.279
9.069,0.127,-9.287
9.089,0.080,-9.275
9.109,0.015,-9.245
9.129,-0.065,-9.222
9.149,-0.149,-9.210
9.169,-0.218,-9.216
9.189,-0.251,-9.246
9.209,-0.233,-9.294
9.229,-0.171,-9.337
9.249,-0.077,-9.369
9.269,0.033,-9.382
9.289,0.140,-9.375
9.309,0.212,-9.357
9.329,0.244,-9.341
9.349,0.244,-9.340
9.369,0.218,-9.359
9.389,0.174,-9.396
9.409,0.129,-9.445
9.429,0.091,-9.505
9.449,0.065,-9.572
9.469,0.055,-9.629
9.489,0.065,-9.670
9.510,0.095,-9.689
9.530,0.143,-9.674
9.550,0.203,-9.620
9.570,0.266,-9.550
9.590,0.319,-9.480
9.610,0.354,-9.423
9.630,0.365,-9.384
9.650,0.356,-9.368
9.670,0.326,-9.378
9.690,0.294,-9.404
9.710,0.265,-9.446
9.730,0.245,-9.514
9.750,0.233,-9.605
9.770,0.221,-9.702
9.790,0.195,-9.800
9.810,0.152,-9.891
9.830,0.089,-9.969
9.850,0.007,-10.027
9.870,-0.065,-10.077
9.890,-0.109,-10.124
9.910,-0.121,-10.164
9.930,-0.091,-10.194
9.950,-0.012,-10.213
9.970,0.077,-10.214
9.990,0.160,-10.183
10.010,0.229,-10.128
10.030,0.267,-10.062
10.050,0.266,-9.991
10.070,0.242,-9.928
10.090,0.205,-9.903
10.110,0.154,-9.913
10.130,0.096,-9.948
10.150,0.033,-10.006
10.170,-0.038,-10.071
10.190,-0.136,-10.122
10.210,-0.251,-10.156
10.230,-0.372,-10.177
10.250,-0.494,-10.186
10.270,-0.608,-10.196
10.290,-0.693,-10.212
10.310,-0.746,-10.235
10.330,-0.778,-10.261
10.350,-0.790,-10.285
10.370,-0.771,-10.292
10.390,-0.721,-10.283
10.410,-0.650,-10.255
10.430,-0.562,-10.213
10.450,-0.474,-10.162
10.470,-0.407,-10.115
10.490,-0.383,-10.071
10.511,-0.395,-10.038
10.531,-0.430,-10.018
10.551,-0.479,-10.007
10.571,-0.535,-10.006
10.591,-0.583,-10.014
10.611,-0.615,-10.028
10.631,-0.634,-10.041
10.651,-0.630,-10.039
10.671,-0.601,-10.017
10.691,-0.554,-9.969
10.711,-0.503,-9.889
10.731,-0.466,-9.781
10.751,-0.455,-9.671
10.771,-0.466,-9.574
10.791,-0.493,-9.502
10.811,-0.525,-9.465
10.831,-0.535,-9.469
10.851,-0.515,-9.502
10.871,-0.472,-9.547
10.891,-0.414,-9.589
10.911,-0.349,-9.618
10.931,-0.306,-9.634
10.951,-0.289,-9.629
10.971,-0.293,-9.619
10.991,-0.310,-9.613
11.011,-0.332,-9.615
11.031,-0.348,-9.623
11.051,-0.357,-9.636
11.071,-0.362,-9.642
11.091,-0.359,-9.638
11.111,-0.357,-9.622
11.131,-0.355,-9.595
11.151,-0.353,-9.565
11.171,-0.350,-9.539
11.191,-0.358,-9.519
11.211,-0.368,-9.505
11.231,-0.379,-9.500
11.251,-0.391,-9.493
11.271,-0.401,-9.483
11.291,-0.406,-9.472
11.311,-0.405,-9.459
11.331,-0.400,-9.447
11.351,-0.393,-9.436
11.371,-0.388,-9.427
11.391,-0.389,-9.416
11.411,-0.401,-9.398
11.431,-0.420,-9.364
11.451,-0.446,-9.313
11.471,-0.473,-9.242
11.491,-0.491,-9.133
11.512,-0.498,-8.989
11.532,-0.501,-8.825
11.552,-0.490,-8.671
11.572,-0.461,-8.536
11.592,-0.417,-8.467
11.612,-0.350,-8.481
11.632,-0.252,-8.563
11.652,-0.137,-8.669
11.672,-0.015,-8.790
11.692,0.107,-8.891
11.712,0.214,-8.941
11.732,0.296,-8.947
11.752,0.353,-8.934
11.772,0.386,-8.907
11.792,0.403,-8.875
11.812,0.416,-8.860
11.832,0.423,-8.856
11.852,0.427,-8.855
11.872,0.433,-8.844
11.892,0.434,-8.823
11.912,0.423,-8.785
11.932,0.411,-8.736
11.952,0.403,-8.681
11.972,0.395,-8.631
11.992,0.386,-8.590
12.012,0.386,-8.560
12.032,0.387,-8.539
12.052,0.387,-8.522
12.072,0.388,-8.506
12.092,0.399,-8.489
12.112,0.413,-8.469
12.132,0.429,-8.447
12.152,0.453,-8.425
12.172,0.482,-8.402
12.192,0.507,-8.380
12.212,0.532,-8.357
12.232,0.565,-8.333
12.252,0.598,-8.305
12.272,0.633,-8.277
12.292,0.672,-8.249
12.312,0.708,-8.226
12.332,0.728,-8.212
12.352,0.737,-8.208
12.372,0.736,-8.213
12.392,0.729,-8.224
12.412,0.721,-8.229
12.432,0.719,-8.222
12.452,0.723,-8.199
12.472,0.716,-8.164
12.492,0.696,-8.121
12.513,0.665,-8.081
12.533,0.623,-8.051
12.553,0.578,-8.038
12.573,0.553,-8.020
12.593,0.551,-7.989
12.613,0.570,-7.938
12.633,0.612,-7.844
12.653,0.663,-7.699
12.673,0.713,-7.533
12.693,0.751,-7.382
12.713,0.777,-7.256
12.733,0.774,-7.198
12.753,0.755,-7.222
12.773,0.723,-7.312
12.793,0.690,-7.422
12.813,0.660,-7.541
12.833,0.650,-7.640
12.853,0.658,-7.705
12.873,0.674,-7.732
12.893,0.691,-7.739
12.913,0.705,-7.727
12.933,0.710,-7.701
12.953,0.703,-7.668
12.973,0.685,-7.632
12.993,0.662,-7.598
13.013,0.630,-7.566
13.033,0.593,-7.534
13.053,0.554,-7.501
13.073,0.523,-7.467
13.093,0.500,-7.428
13.113,0.486,-7.389
13.133,0.471,-7.359
13.153,0.439,-7.334
13.173,0.375,-7.315
13.193,0.287,-7.301
13.213,0.186,-7.284
13.233,0.085,-7.255
13.253,0.019,-7.215
13.273,-0.003,-7.164
13.293,0.005,-7.106
13.313,0.028,-7.054
13.333,0.060,-7.007
13.353,0.083,-6.969
13.373,0.078,-6.934
13.393,0.054,-6.894
13.413,0.019,-6.834
13.433,-0.028,-6.760
13.453,-0.080,-6.674
13.473,-0.111,-6.584
13.493,-0.121,-6.507
13.514,-0.115,-6.459
13.534,-0.094,-6.451
13.554,-0.064,-6.478
13.574,-0.042,-6.531
13.594,-0.027,-6.596
13.614,-0.003,-6.660
13.634,0.034,-6.695
13.654,0.085,-6.699
13.674,0.152,-6.676
13.694,0.238,-6.633
13.714,0.310,-6.576
13.734,0.359,-6.517
13.754,0.381,-6.465
13.774,0.372,-6.421
13.794,0.331,-6.392
13.814,0.279,-6.377
13.834,0.233,-6.379
13.854,0.201,-6.395
13.874,0.186,-6.420
13.894,0.184,-6.449
13.914,0.189,-6.469
13.934,0.189,-6.474
13.954,0.184,-6.462
13.974,0.186,-6.432
13.994,0.201,-6.386
14.014,0.233,-6.337
14.034,0.279,-6.292
14.054,0.331,-6.254
14.074,0.372,-6.222
14.094,0.381,-6.190
14.114,0.359,-6.147
14.134,0.310,-6.091
14.154,0.238,-6.018
14.174,0.152,-5.930
14.194,0.085,-5.850
14.214,0.034,-5.793
14.234,-0.003,-5.760
14.254,-0.027,-5.763
14.274,-0.042,-5.804
14.294,-0.064,-5.852
14.314,-0.094,-5.897
14.334,-0.115,-5.929
14.354,-0.121,-5.937
14.374,-0.111,-5.915
14.394,-0.080,-5.873
14.414,-0.028,-5.821
14.434,0.019,-5.758
14.454,0.054,-5.690
14.474,0.078,-5.617
14.494,0.083,-5.537
14.515,0.060,-5.437
14.535,0.028,-5.323
14.555,0.005,-5.203
14.575,-0.003,-5.084
14.595,0.019,-4.970
14.615,0.085,-4.880
14.635,0.186,-4.816
14.655,0.287,-4.767
14.675,0.375,-4.736
14.695,0.439,-4.729
14.715,0.471,-4.746
14.735,0.486,-4.781
14.755,0.500,-4.828
14.775,0.523,-4.877
14.795,0.554,-4.908
14.815,0.593,-4.905
14.835,0.630,-4.873
14.855,0.662,-4.823
14.875,0.685,-4.762
14.895,0.703,-4.695
14.915,0.710,-4.634
14.935,0.705,-4.586
14.955,0.691,-4.549
14.975,0.674,-4.529
14.995,0.658,-4.530
15.015,0.650,-4.546
15.035,0.660,-4.565
15.055,0.690,-4.572
15.075,0.723,-4.558
15.095,0.755,-4.527
15.115,0.774,-4.483
15.135,0.777,-4.435
15.155,0.751,-4.405
15.175,0.713,-4.399
15.195,0.663,-4.411
15.215,0.612,-4.435
15.235,0.570,-4.464
15.255,0.551,-4.476
15.275,0.553,-4.468
15.295,0.578,-4.443
