t,x,y
11.792,-8.875,0.403
11.812,-8.860,0.416
11.832,-8.856,0.423
11.852,-8.855,0.427
11.872,-8.844,0.433
11.892,-8.823,0.434
11.912,-8.785,0.423
11.932,-8.736,0.411
11.952,-8.681,0.403
11.972,-8.631,0.395
11.992,-8.590,0.386
12.012,-8.560,0.386
12.032,-8.539,0.387
12.052,-8.522,0.387
12.072,-8.506,0.388
12.092,-8.489,0.399
12.112,-8.469,0.413
12.132,-8.447,0.429
12.152,-8.425,0.453
12.172,-8.402,0.482
12.192,-8.380,0.507
12.212,-8.357,0.532
12.232,-8.333,0.565
12.252,-8.305,0.598
12.272,-8.277,0.633
12.292,-8.249,0.672
12.312,-8.226,0.708
12.332,-8.212,0.728
12.352,-8.208,0.737
12.372,-8.213,0.736
12.392,-8.224,0.729
12.412,-8.229,0.721
12.432,-8.222,0.719
12.452,-8.199,0.723
12.472,-8.164,0.716
12.492,-8.121,0.696
12.513,-8.081,0.665
12.533,-8.051,0.623
12.553,-8.038,0.578
12.573,-8.020,0.553
12.593,-7.989,0.551
12.613,-7.938,0.570
12.633,-7.844,0.612
12.653,-7.699,0.663
12.673,-7.533,0.713
12.693,-7.382,0.751
12.713,-7.256,0.777
12.733,-7.198,0.774
12.753,-7.222,0.755
12.773,-7.312,0.723
12.793,-7.422,0.690
12.813,-7.541,0.660
12.833,-7.640,0.650
12.853,-7.705,0.658
12.873,-7.732,0.674
12.893,-7.739,0.691
12.913,-7.727,0.705
12.933,-7.701,0.710
12.953,-7.668,0.703
12.973,-7.632,0.685
12.993,-7.598,0.662
13.013,-7.566,0.630
13.033,-7.534,0.593
13.053,-7.501,0.554
13.073,-7.467,0.523
13.093,-7.428,0.500
13.113,-7.389,0.486
13.133,-7.359,0.471
13.153,-7.334,0.439
13.173,-7.315,0.375
13.193,-7.301,0.287
13.213,-7.284,0.186
13.233,-7.255,0.085
13.253,-7.215,0.019
13.273,-7.164,-0.003
13.293,-7.106,0.005
13.313,-7.054,0.028
13.333,-7.007,0.060
13.353,-6.969,0.083
13.373,-6.934,0.078
13.393,-6.894,0.054
13.413,-6.834,0.019
13.433,-6.760,-0.028
13.453,-6.674,-0.080
13.473,-6.584,-0.111
13.493,-6.507,-0.121
13.514,-6.459,-0.115
13.534,-6.451,-0.094
13.554,-6.478,-0.064
13.574,-6.531,-0.042
13.594,-6.596,-0.027
13.614,-6.660,-0.003
13.634,-6.695,0.034
13.654,-6.699,0.085
13.674,-6.676,0.152
13.694,-6.633,0.238
13.714,-6.576,0.310
13.734,-6.517,0.359
13.754,-6.465,0.381
13.774,-6.421,0.372
13.794,-6.392,0.331
13.814,-6.377,0.279
13.834,-6.379,0.233
13.854,-6.395,0.201
13.874,-6.420,0.186
13.894,-6.449,0.184
13.914,-6.469,0.189
13.934,-6.474,0.189
13.954,-6.462,0.184
13.974,-6.432,0.186
13.994,-6.386,0.201
14.014,-6.337,0.233
14.034,-6.292,0.279
14.054,-6.254,0.331
14.074,-6.222,0.372
14.094,-6.190,0.381
14.114,-6.147,0.359
14.134,-6.091,0.310
14.154,-6.018,0.238
14.174,-5.930,0.152
14.194,-5.850,0.085
14.214,-5.793,0.034
14.234,-5.760,-0.003
14.254,-5.763,-0.027
14.274,-5.804,-0.042
14.294,-5.852,-0.064
14.314,-5.897,-0.094
14.334,-5.929,-0.115
14.354,-5.937,-0.121
14.374,-5.915,-0.111
14.394,-5.873,-0.080
14.414,-5.821,-0.028
14.434,-5.758,0.019
14.454,-5.690,0.054
14.474,-5.617,0.078
14.494,-5.537,0.083
14.515,-5.437,0.060
14.535,-5.323,0.028
14.555,-5.203,0.005
14.575,-5.084,-0.003
14.595,-4.970,0.019
14.615,-4.880,0.085
14.635,-4.816,0.186
14.655,-4.767,0.287
14.675,-4.736,0.375
14.695,-4.729,0.439
14.715,-4.746,0.471
14.735,-4.781,0.486
14.755,-4.828,0.500
14.775,-4.877,0.523
14.795,-4.908,0.554
14.815,-4.905,0.593
14.835,-4.873,0.630
14.855,-4.823,0.662
14.875,-4.762,0.685
14.895,-4.695,0.703
14.915,-4.634,0.710
14.935,-4.586,0.705
14.955,-4.549,0.691
14.975,-4.529,0.674
14.995,-4.530,0.658
15.015,-4.546,0.650
15.035,-4.565,0.660
15.055,-4.572,0.690
15.075,-4.558,0.723
15.095,-4.527,0.755
15.115,-4.483,0.774
15.135,-4.435,0.777
15.155,-4.405,0.751
15.175,-4.399,0.713
15.195,-4.411,0.663
15.215,-4.435,0.612
15.235,-4.464,0.570
15.255,-4.476,0.551
15.275,-4.468,0.553
15.295,-4.443,0.578
15.315,-4.407,0.623
15.335,-4.367,0.665
15.355,-4.332,0.696
15.375,-4.302,0.716
15.395,-4.276,0.723
15.415,-4.256,0.719
15.435,-4.235,0.721
15.455,-4.215,0.729
15.475,-4.194,0.736
15.495,-4.174,0.737
15.516,-4.146,0.728
15.536,-4.115,0.708
15.556,-4.084,0.672
15.576,-4.053,0.633
15.596,-4.022,0.598
15.616,-3.996,0.565
15.636,-3.975,0.532
15.656,-3.957,0.507
15.676,-3.940,0.482
15.696,-3.921,0.453
15.716,-3.899,0.429
15.736,-3.867,0.413
15.756,-3.829,0.399
15.776,-3.786,0.388
15.796,-3.742,0.387
15.816,-3.705,0.387
15.836,-3.677,0.386
15.856,-3.652,0.386
15.876,-3.640,0.395
15.896,-3.640,0.403
15.916,-3.653,0.411
15.936,-3.685,0.423
15.956,-3.741,0.434
15.976,-3.810,0.433
15.996,-3.886,0.427
16.016,-3.961,0.423
16.036,-4.024,0.416
16.056,-4.068,0.403
16.076,-4.091,0.386
16.096,-4.095,0.353
16.116,-4.087,0.296
16.136,-4.075,0.214
16.156,-4.058,0.107
16.176,-4.039,-0.015
16.196,-4.021,-0.137
16.216,-4.000,-0.252
16.236,-3.969,-0.350
16.256,-3.937,-0.417
16.276,-3.908,-0.461
16.296,-3.879,-0.490
16.316,-3.850,-0.501
16.336,-3.828,-0.498
16.356,-3.807,-0.491
16.376,-3.784,-0.473
16.396,-3.763,-0.446
16.416,-3.749,-0.420
16.436,-3.738,-0.401
16.456,-3.729,-0.389
16.476,-3.725,-0.388
16.496,-3.726,-0.393
16.517,-3.724,-0.400
16.537,-3.722,-0.405
16.557,-3.726,-0.406
16.577,-3.730,-0.401
16.597,-3.736,-0.391
16.617,-3.745,-0.379
16.637,-3.751,-0.368
16.657,-3.745,-0.358
16.677,-3.730,-0.350
16.697,-3.707,-0.353
16.717,-3.679,-0.355
16.737,-3.650,-0.357
16.757,-3.627,-0.359
16.777,-3.607,-0.362
16.797,-3.579,-0.357
16.817,-3.541,-0.348
16.837,-3.494,-0.332
16.857,-3.439,-0.310
16.877,-3.380,-0.293
16.897,-3.338,-0.289
16.917,-3.314,-0.306
16.937,-3.307,-0.349
16.957,-3.318,-0.414
16.977,-3.337,-0.472
16.997,-3.354,-0.515
17.017,-3.363,-0.535
17.037,-3.361,-0.525
17.057,-3.337,-0.493
17.077,-3.299,-0.466
17.097,-3.251,-0.455
17.117,-3.202,-0.466
17.137,-3.156,-0.503
17.157,-3.126,-0.554
17.177,-3.110,-0.601
17.197,-3.101,-0.630
17.217,-3.092,-0.634
17.237,-3.080,-0.615
17.257,-3.062,-0.583
17.277,-3.034,-0.535
17.297,-2.998,-0.479
